1 16 16 4096 1 1 0 0 0 1.2366
16 8 16 4096 32 32 0 0 0 0.94078
4 64 16 4096 64 32 0 0 0 0.77895
1 16 16 4096 32 32 0 14 0 0.9655
1 64 16 4096 16 16 0 13 0 0.85804
1 8 16 4096 64 32 0 8 0 1.1778
12 16 16 4096 32 32 2 1 0 0.83551
12 16 16 4096 64 32 3 13 0 0.89429
12 32 16 4096 16 8 1 0 0 0.77481
12 32 16 4096 4 4 2 3 0 0.7802
12 32 16 4096 8 8 3 5 0 0.77509
12 64 16 4096 32 32 2 5 0 0.77155
12 64 16 4096 64 32 3 9 0 0.77603
12 8 16 4096 2 1 0 0 1 0.86106
12 8 16 4096 64 32 0 18 0 0.99104
16 16 16 4096 16 16 0 4 0 0.8001
16 16 16 4096 32 32 3 28 0 0.83321
16 16 16 4096 64 8 0 6 0 0.89666
16 32 16 4096 32 32 0 0 1 0.77809
16 32 16 4096 64 32 1 12 0 0.81237
16 64 16 4096 16 16 2 11 0 0.7681
16 64 16 4096 32 4 3 1 0 0.76888
16 64 16 4096 64 8 3 7 0 0.7731
16 8 16 4096 32 32 0 4 0 0.94078
16 8 16 4096 64 32 1 8 0 0.98886
2 16 16 4096 32 32 0 6 0 0.88037
2 32 16 4096 8 8 0 1 0 0.82544
2 8 16 4096 32 4 0 3 0 0.98277
20 16 16 4096 16 8 4 3 0 0.79688
20 16 16 4096 32 8 4 2 0 0.83046
20 16 16 4096 64 8 1 4 0 0.89711
20 32 16 4096 16 8 1 1 0 0.77155
20 32 16 4096 32 8 1 0 0 0.7754
20 32 16 4096 64 4 1 3 0 0.80607
20 64 16 4096 16 4 1 0 0 0.76785
20 64 16 4096 32 4 0 3 0 0.76902
20 64 16 4096 64 32 4 2 0 0.77451
20 8 16 4096 16 16 4 14 0 0.88077
20 8 16 4096 32 32 4 16 0 0.94041
20 8 16 4096 64 32 3 24 0 0.98929
4 16 16 4096 16 4 0 3 0 0.80772
4 32 16 4096 4 4 0 2 0 0.80396
4 8 16 4096 16 16 0 8 0 0.90156
6 16 16 4096 64 2 0 0 1 0.90353
6 64 16 4096 16 2 0 0 1 0.78496
6 8 16 4096 64 32 0 13 0 0.99916
8 16 16 4096 4 4 1 1 0 0.80233
8 32 16 4096 32 32 1 20 0 0.78152
8 64 16 4096 2 1 0 0 0 0.78861
8 8 16 4096 16 16 0 12 0 0.88598
8 8 16 4096 64 8 0 2 0 0.99629
